type,length,thickness,fault_flg
E,274.0273827080609,40.24113135955541,FALSE
D,86.31926860506081,16.906714630016268,FALSE
E,123.94038830419984,1.0184619943950775,FALSE
B,175.5548859820581,16.41492419553766,FALSE
B,244.93473950709702,29.061080805480326,FALSE
B,226.42651402498535,39.76380137107543,FALSE
C,331.63767138081164,16.83556687876311,FALSE
A,200.86544412142973,12.184256052452268,FALSE
C,276.38663112594,29.899611485794143,FALSE
E,168.44121347494632,1.2659187080578818,FALSE
D,218.13916499340675,33.135426544140174,FALSE
E,215.17899465921624,41.759894055925,FALSE
D,218.03781086105218,11.836329482556817,FALSE
E,218.31035175516993,39.578552506382096,FALSE
D,207.823248337103,38.70262664958969,FALSE
E,286.5369198078346,5.375502445849498,FALSE
C,239.28373738728132,18.94182599938993,FALSE
C,373.65493923939226,11.254800760032795,FALSE
E,200.11162531654514,17.974268660683798,FALSE
C,326.17473403044,44.30785200118088,FALSE
B,157.57258379849446,0.4094952977182832,FALSE
B,150.21745086752932,8.68243047042142,FALSE
C,358.6049964890586,25.70038793058324,FALSE
C,269.0064901225434,16.95754607182907,FALSE
B,202.54936868307078,None,FALSE
D,223.8061486183773,19.65076599420279,FALSE
B,263.8443236175642,34.66425112689404,FALSE
B,169.69060167970903,None,FALSE
A,131.8492130008828,4.721600725740606,TRUE
E,128.98976509702064,16.52324107337661,FALSE
A,129.36473599899992,21.34675161789608,FALSE
E,152.94506780863662,27.131257789174708,FALSE
C,346.54616383283997,48.70996664390531,FALSE
D,182.04448312700623,19.639671611070636,FALSE
D,213.51690023546848,0.40507508607405796,FALSE
C,404.84905403189265,77.90452539690342,FALSE
E,203.3789724035845,30.286454023638314,FALSE
B,153.1423844844125,1.1042176811849576,FALSE
B,150.3597566728907,10.995655308032106,FALSE
C,249.48182618153962,20.940242424866614,FALSE
E,257.433681577253,37.155603327316214,FALSE
D,157.4631657785049,11.166164875979595,FALSE
D,122.94688377457312,5.694126314045422,FALSE
E,110.24312505505979,19.16437137849868,TRUE
A,123.97574092996719,11.11885089456935,FALSE
A,206.45820360467988,21.847364311570736,FALSE
A,104.86781060935068,15.105854956804244,FALSE
A,75.30256190638286,8.513450352845439,TRUE
C,291.0735336950002,None,FALSE
C,288.0396816663782,31.281966613105748,FALSE
E,287.2983327070175,47.54781671353337,FALSE
D,104.65181439791326,20.912460012853227,FALSE
E,241.08699088925812,37.507705548862226,FALSE
C,165.92669682622548,10.528480866203369,FALSE
A,161.81286072933,21.091026028262746,FALSE
B,147.0516631303018,28.42914556216361,FALSE
C,205.87924010437325,24.90300841065806,TRUE
B,140.8254851670611,2.833780978264698,TRUE
B,107.94110529164146,14.740839675865846,FALSE
D,173.8363291787375,33.013553582942585,FALSE
C,420.50076171743666,24.532367458764725,FALSE
A,76.05711471764573,3.2319566258540813,TRUE
B,236.89949534862777,None,FALSE
B,144.68808736888585,7.515626168460633,FALSE
D,136.1546851481551,4.3625854602736345,FALSE
C,311.8230872503381,17.91054686731266,FALSE
B,108.03885367550481,15.539569874694372,FALSE
B,223.73233075892216,38.061697882166776,FALSE
E,108.46489952909994,16.108367889548845,FALSE
E,185.65288386489277,20.754535885686774,FALSE
B,235.8995031345596,None,FALSE
A,134.96381173131186,25.180639353713747,FALSE
A,155.00656422637937,24.332478356863145,FALSE
E,228.28985702160827,None,FALSE
C,198.27929646829995,5.1474517744680055,FALSE
C,398.78989518334157,26.542511199520792,FALSE
C,250.6802178171275,30.05890117201936,FALSE
D,147.5990273398508,3.1360977142376463,FALSE
E,111.99256484849072,14.126904289909115,TRUE
E,135.14751310629808,None,FALSE
E,135.4246726753018,8.509636970499477,FALSE
C,275.8231533561576,4.762868348399428,FALSE
D,147.14055097661648,13.318292043817781,FALSE
C,442.74556832458245,14.818581234241178,FALSE
D,154.63851034903456,17.594582980739172,FALSE
E,107.37081269849516,None,FALSE
C,172.44107083659745,28.611420196547584,FALSE
A,184.1531300907272,19.530491150326206,FALSE
E,139.84736306470762,2.21998668629528,FALSE
B,105.42136617287208,4.426386049272781,FALSE
B,187.09438649110072,15.73641632233555,FALSE
E,112.69846834317667,9.195637182375444,FALSE
E,184.15624370382275,17.77532310934013,FALSE
E,189.61066550943582,1.4196836870678458,FALSE
D,130.9276228576656,0.5316342549161275,FALSE
A,220.30027541145057,14.378683462344517,FALSE
E,186.89137580506622,4.784968021870715,FALSE
A,192.2432792880553,37.00231869727956,FALSE
B,273.4540921555194,51.79636808284756,FALSE
D,135.2950834791272,5.957147044998885,FALSE
D,206.07391472867945,34.25386380903721,FALSE
A,122.06327713557812,6.5370783279380325,FALSE
C,183.05835132946586,2.6284633893039278,TRUE
C,305.27923921124636,None,FALSE
B,124.96617125392027,None,FALSE
A,85.58651713160602,16.913542141855668,FALSE
B,205.07747157237208,None,FALSE
E,144.5950101587275,None,FALSE
D,183.6007241698206,9.074875401905167,FALSE
D,179.38001113639902,21.955081661227478,FALSE
A,171.57581061684604,14.950567454825627,FALSE
C,441.19360446645595,37.61933534106451,FALSE
C,201.11296382922467,37.075186010508936,FALSE
